sample	type	group	R1	R2	library	lane	center
EGAF00002727207	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727207/PGDX3502P6_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727207/PGDX3502P6_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727208	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727208/PGDX3502P4_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727208/PGDX3502P4_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727208	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727208/PGDX3502P4_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727208/PGDX3502P4_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727209	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727209/PGDX3502P2_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727209/PGDX3502P2_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727209	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727209/PGDX3502P2_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727209/PGDX3502P2_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727210	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727210/PGDX3502P3_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727210/PGDX3502P3_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727210	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727210/PGDX3502P3_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727210/PGDX3502P3_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727211	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727211/PGDX3502P1_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727211/PGDX3502P1_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727211	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727211/PGDX3502P1_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727211/PGDX3502P1_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727214	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727214/PGDX6871P_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727214/PGDX6871P_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727214	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727214/PGDX6871P_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727214/PGDX6871P_WGS_R2.fastq.gz	LIB1	L001	CENTER1
